marker1,marker2,marker3,marker4,marker5,marker6,marker7,Patch filename,label,EM
1,1,-1,-1,-1,-1,-1,CasoHEProstata_A_0001_row_12288_column_51200,1,1
-1,-1,-1,-1,0,-1,2,CasoHEProstata_A_0001_row_14336_column_12288,2,0
-1,-1,-1,-1,-1,0,-1,CasoHEProstata_A_0001_row_14336_column_14336,0,0
-1,0,-1,-1,-1,-1,2,CasoHEProstata_A_0001_row_16384_column_14336,2,0
-1,-1,-1,-1,-1,-1,2,CasoHEProstata_A_0001_row_16384_column_53248,2,0
-1,-1,-1,0,-1,0,3,CasoHEProstata_A_0001_row_18432_column_14336,0,0
-1,0,-1,-1,-1,-1,-1,CasoHEProstata_A_0001_row_18432_column_53248,0,0
-1,-1,-1,-1,-1,0,2,CasoHEProstata_A_0001_row_18432_column_55296,2,0
-1,0,-1,-1,-1,-1,-1,CasoHEProstata_A_0001_row_20480_column_16384,0,0
-1,1,0,0,-1,-1,-1,CasoHEProstata_A_0001_row_30720_column_12288,0,0
-1,-1,0,-1,0,-1,-1,CasoHEProstata_A_0001_row_34816_column_120832,0,0
-1,-1,0,-1,-1,-1,-1,CasoHEProstata_A_0001_row_34816_column_14336,0,0
-1,-1,-1,-1,0,0,2,CasoHEProstata_A_0001_row_36864_column_16384,0,0
-1,-1,-1,-1,0,-1,-1,CasoHEProstata_A_0011_row_18432_column_30720,0,0
-1,-1,-1,-1,0,-1,-1,CasoHEProstata_A_0011_row_20480_column_110592,0,0
1,-1,-1,0,0,-1,1,CasoHEProstata_A_0011_row_20480_column_16384,1,0
-1,-1,0,-1,0,-1,-1,CasoHEProstata_A_0011_row_22528_column_14336,0,0
-1,-1,-1,-1,-1,0,-1,CasoHEProstata_A_0011_row_22528_column_153600,0,0
-1,-1,-1,-1,1,3,-1,CasoHEProstata_A_0011_row_34816_column_10240,3,2
-1,0,-1,-1,-1,-1,-1,CasoHEProstata_A_0024_row_40960_column_36864,0,0
-1,-1,2,1,-1,-1,-1,CasoHEProstata_A_0026_row_19895_column_127368,2,1
-1,-1,-1,0,1,-1,-1,CasoHEProstata_A_0026_row_19895_column_129416,1,1
0,-1,-1,-1,-1,-1,1,CasoHEProstata_A_0026_row_21943_column_125320,1,0
2,-1,2,-1,-1,2,-1,CasoHEProstata_A_0026_row_21943_column_127368,2,2
0,-1,-1,-1,-1,-1,0,CasoHEProstata_A_0026_row_21943_column_129416,0,0
0,1,-1,-1,-1,-1,-1,CasoHEProstata_A_0026_row_36279_column_133512,1,0
-1,-1,-1,0,-1,-1,2,CasoHEProstata_A_0026_row_36279_column_135560,2,0
-1,-1,3,-1,-1,-1,-1,CasoHEProstata_A_0026_row_38327_column_133512,3,3
-1,1,-1,-1,-1,-1,2,CasoHEProstata_A_0026_row_38327_column_135560,2,1
1,-1,-1,-1,2,-1,-1,CasoHEProstata_A_0026_row_40375_column_127368,2,2
-1,1,-1,-1,-1,3,-1,CasoHEProstata_A_0026_row_42423_column_121224,3,2
-1,1,0,-1,-1,-1,-1,CasoHEProstata_A_0026_row_42423_column_123272,1,0
-1,-1,-1,0,1,-1,-1,CasoHEProstata_A_0026_row_42423_column_125320,1,1
-1,-1,-1,-1,2,-1,2,CasoHEProstata_A_0026_row_42423_column_127368,2,2
1,2,-1,-1,-1,-1,-1,CasoHEProstata_A_0026_row_42423_column_129416,2,2
3,-1,3,-1,-1,-1,-1,CasoHEProstata_A_0026_row_44471_column_115080,3,3
-1,-1,0,-1,-1,-1,3,CasoHEProstata_A_0026_row_44471_column_121224,3,0
-1,-1,2,-1,2,-1,-1,CasoHEProstata_A_0026_row_44471_column_123272,2,2
-1,-1,2,2,-1,-1,-1,CasoHEProstata_A_0026_row_44471_column_125320,2,2
-1,1,-1,-1,3,-1,-1,CasoHEProstata_A_0026_row_46519_column_113032,3,2
3,-1,-1,-1,-1,3,-1,CasoHEProstata_A_0026_row_46519_column_115080,3,3
-1,-1,-1,-1,3,-1,3,CasoHEProstata_A_0026_row_46519_column_117128,3,3
-1,-1,-1,0,-1,3,-1,CasoHEProstata_A_0026_row_48567_column_113032,3,3
1,-1,-1,-1,2,0,-1,CasoHEProstata_A_0026_row_48567_column_115080,2,2
